check,漢字,音読み,訓読み,総画数,部首,用例,例文
1,摩,マ,こす-る・さす-る・す-る,15画,手部,摩擦,路面とのマサツでタイヤが減った。
1,抹,マツ,け-す・こな・す-る,8画,手部,抹殺,証拠のマッサツが問題となった。
1,岬,,みさき,8画,山部,岬,ミサキから見下ろす海は美しかった。
1,銘,メイ,しる-す,14画,金部,感銘,講演に深いカンメイを受けた。
1,妄,モウ,みだ-りに,6画,女部,妄想,根拠のないモウソウに惑わされる。
1,盲,モウ,くら-い,8画,目部,盲腸,モウチョウの手術を受けて回復した。
1,耗,モウ,たよ-り・へ-る,10画,耒部,消耗,長旅で体力のショウモウが激しかった。
1,厄,ヤク,くる-しむ・わざわ-い,4画,厂部,厄難,突然のヤクナンにも冷静に対応した。
1,愉,ユ,たの-しい・たの-しむ,12画,心部,愉悦,優勝の知らせにユエツを感じた。
1,諭,ユ,さと-す,16画,言部,教諭,担任のキョウユから励ましを受けた。
1,癒,ユ,い-える・い-やす,18画,疒部,癒着,業者とのユチャクが問題視された。
1,唯,ユイ,ただ,11画,口部,唯一,彼だけがユイイツの生存者だった。
1,悠,ユウ,とお-い・はる-か,11画,心部,悠久,ユウキュウの歴史を今に伝えている。
1,猶,ユウ,なお,12画,犬部,猶予,支払い期限のユウヨが認められた。
1,裕,ユウ,ひろ-い・ゆた-か,12画,衣部,裕福,ユウフクな家庭で育った友人だ。
1,融,ユウ,とお-る・と-ける,16画,虫部,融資,銀行からユウシを受けて起業した。
1,庸,ヨウ,おろ-か・つね・なん-ぞ・もち-いる,11画,广部,中庸,何事もチュウヨウが大切とされる。
1,窯,ヨウ,かま,15画,穴部,窯業,地域ではヨウギョウが盛んである。
1,羅,ラ,あみ・うすぎぬ・つら-なる,19画,网部,網羅,資料は必要事項をモウラしている。
1,酪,ラク,ちちしる,13画,酉部,酪農,北海道ではラクノウが盛んに行われる。
1,痢,リ,はらくだり,12画,疒部,赤痢,昔はセキリの流行が恐れられた。
1,履,リ,くつ・は-く・ふ-む,15画,尸部,履行,契約内容をリコウする義務がある。
1,柳,リュウ,やなぎ,9画,木部,川柳,趣味でセンリュウを詠んで楽しむ。
1,竜,リュウ,たつ,10画,立部,竜王,将棋界のリュウオウ戦が開幕した。
1,硫,リュウ・ル,,12画,石部,硫酸,実験でリュウサンを慎重に扱った。
1,虜,リョ・ロ,えびす・しもべ・とりこ,13画,虍部,捕虜,捕らえられたホリョが帰還を果たした。
1,涼,リョウ,うす-い・すず-しい・すず-む,11画,水部,荒涼,荒野にはコウリョウな景色が広がる。
1,僚,リョウ,つかさ・とも,14画,人部,閣僚,カクリョウ会議が開催された。
1,寮,リョウ,つかさ,15画,宀部,寮生,新入生のリョウセイが入寮してきた。
1,倫,リン,たぐい・つい-で・みち,10画,人部,倫理,大学でリンリについて学んでいる。
1,鈴,リン・レイ,すず,13画,金部,亜鈴,店先に並ぶアレイの音が心地よい。
1,塁,ルイ,かさ-ねる・とりで,12画,土部,盗塁,九回裏にトウルイを決めて勝利した。
1,累,ルイ,かさ-なる・かさ-ねる・しき-りに・しば-る・わずら-わす,11画,糸部,累進,所得税はルイシン課税が採用される。
1,戻,レイ,いた-る・もと-る・もど-す・もど-る,7画,戸部,返戻,申請書がヘンレイされて戻ってきた。
1,賄,ワイ,まいな-う・まかな-う,13画,貝部,収賄,政治家のシュウワイ事件が報じられた。
1,枠,,わく,8画,木部,別枠,今回の募集はベツワクで実施される。
